 Test F_43
 
 Function table Test_43 :
 124   (    6,2000000000,   -0,4544038026   )
 125   (    6,2500000000,   -0,2200966462   )
 126   (    6,3000000000,    0,0446491720   )
 127   (    6,3500000000,    0,3332288088   )
 128   (    6,4000000000,    0,6384428132   )
 129   (    6,4500000000,    0,9526767390   )
 130   (    6,5000000000,    1,2680911089   )
 131   (    6,5500000000,    1,5768169945   )
 132   (    6,6000000000,    1,8711523298   )
 133   (    6,6500000000,    2,1437540621   )
 134   (    6,7000000000,    2,3878213468   )
 135   (    6,7500000000,    2,5972652140   )
 136   (    6,8000000000,    2,7668604767   )
 137   (    6,8500000000,    2,8923760880   )
 138   (    6,9000000000,    2,9706806978   )
 139   (    6,9500000000,    2,9998207732   )
 140   (    7,0000000000,    2,9790693357   )
 141   (    7,0500000000,    2,9089440973   )
 142   (    7,1000000000,    2,7911945453   )
 143   (    7,1500000000,    2,6287582956   )
 144   (    7,2000000000,    2,4256878060   )
 145   (    7,2500000000,    2,1870492751   )
 146   (    7,3000000000,    1,9187962509   )
 147   (    7,3500000000,    1,6276211027   )
 148   (    7,4000000000,    1,3207880595   )
 149   (    7,4500000000,    1,0059519824   )
 150   (    7,5000000000,    0,6909673919   )
 151   (    7,5500000000,    0,3836925131   )
 152   (    7,6000000000,    0,0917932296   )
 153   (    7,6500000000,   -0,1774481653   )
 154   (    7,7000000000,   -0,4173146462   )
 155   (    7,7500000000,   -0,6218220322   )
 156   (    7,8000000000,   -0,7858682800   )
 157   (    7,8500000000,   -0,9053607689   )
 158   (    7,9000000000,   -0,9773184042   )
 159   (    7,9500000000,   -0,9999459885   )
 160   (    8,0000000000,   -0,9726790089   )
 161   (    8,0500000000,   -0,8961977201   )
 162   (    8,1000000000,   -0,7724101734   )
 163   (    8,1500000000,   -0,6044046149   )
 164   (    8,2000000000,   -0,3963724401   )
 165   (    8,2500000000,   -0,1535036266   )
 166   (    8,3000000000,    0,1181427444   )
 167   (    8,3500000000,    0,4117896508   )
 168   (    8,4000000000,    0,7201112015   )
 169   (    8,4500000000,    1,0354154032   )
 170   (    8,5000000000,    1,3498360597   )
 171   (    8,5500000000,    1,6555290172   )
 172   (    8,6000000000,    1,9448678604   )
 173   (    8,6500000000,    2,2106341756   )
 174   (    8,7000000000,    2,4461976356   )
 175   (    8,7500000000,    2,6456814128   )
 176   (    8,8000000000,    2,8041087941   )
 177   (    8,8500000000,    2,9175273397   )
 178   (    8,9000000000,    2,9831074884   )
 179   (    8,9500000000,    2,9992131494   )
 180   (    9,0000000000,    2,9654425195   )
 181   (    9,0500000000,    2,8826381070   )
 182   (    9,1000000000,    2,7528657133   )
 183   (    9,1500000000,    2,5793628949   )
 184   (    9,2000000000,    2,3664581933   )
 185   (    9,2500000000,    2,1194631466   )
 186   (    9,3000000000,    1,8445397774   )
 187   (    9,3500000000,    1,5485468630   )
 188   (    9,4000000000,    1,2388688228   )
 189   (    9,4500000000,    0,9232314923   )
 190   (    9,5000000000,    0,6095093790   )
 191   (    9,5500000000,    0,3055292098   )
 192   (    9,6000000000,    0,0188746697   )
 193   (    9,6500000000,   -0,2433027952   )
 194   (    9,7000000000,   -0,4744623918   )
 195   (    9,7500000000,   -0,6688371599   )
 196   (    9,8000000000,   -0,8215778455   )
 197   (    9,8500000000,   -0,9288738799   )
 198   (    9,9000000000,   -0,9880484460   )
 199   (    9,9500000000,   -0,9976252591   )
 200   (   10,0000000000,   -0,9573653972   )
 201   (   10,0500000000,   -0,8682732618   )
 202   (   10,1000000000,   -0,7325715197   )
 203   (   10,1500000000,   -0,5536456527   )
 204   (   10,2000000000,   -0,3359594961   )
 205   (   10,2500000000,   -0,0849438755   )
 206   (   10,3000000000,    0,1931388815   )
 207   (   10,3500000000,    0,4913511773   )
 208   (   10,4000000000,    0,8022532236   )
 209   (   10,4500000000,    1,1180886485   )
 210   (   10,5000000000,    1,4309780025   )
 211   (   10,5500000000,    1,7331153344   )
 212   (   10,6000000000,    2,0169629342   )
 213   (   10,6500000000,    2,2754393833   )
 214   (   10,7000000000,    2,5020962216   )
 215   (   10,7500000000,    2,6912788233   )
 216   (   10,8000000000,    2,8382674684   )
